71 	71478 	2713 	13.08 	86421 	1202 	16.55 	78770 	1904 	14.94 
72 	69538 	2980 	12.43 	85382 	1355 	15.74 	77270 	2104 	14.22 
73 	67466 	3272 	11.80 	84225 	1497 	14.95 	75644 	2308 	13.51 
74 	65259 	3566 	11.18 	82964 	1674 	14.17 	73899 	2530 	12.82 
75 	62931 	3953 	10.57 	81575 	1896 	13.40 	72029 	2816 	12.14 
76 	60444 	4371 	9.99 	80029 	2147 	12.65 	70001 	3130 	11.47 
77 	57802 	4790 	9.42 	78310 	2436 	11.92 	67810 	3463 	10.83 
78 	55033 	5287 	8.87 	76402 	2770 	11.21 	65461 	3854 	10.20 
79 	52124 	5761 	8.34 	74286 	3129 	10.51 	62939 	4245 	9.59 
80 	49121 	6444 	7.82 	71961 	3600 	9.83 	60267 	4787 	8.99 
81 	45956 	7118 	7.32 	69371 	4125 	9.18 	57382 	5352 	8.42 
82 	42684 	7880 	6.84 	66509 	4791 	8.56 	54311 	6034 	7.87 
83 	39321 	8859 	6.39 	63323 	5515 	7.96 	51034 	6834 	7.34 
84 	35837 	9802 	5.96 	59831 	6291 	7.40 	47546 	7646 	6.84 
85 	32325 	10870 	5.55 	56067 	7157 	6.86 	43911 	8556 	6.37 
86 	28811 	12211 	5.17 	52054 	8246 	6.35 	40154 	9703 	5.92 
87 	25293 	13478 	4.82 	47761 	9369 	5.88 	36258 	10837 	5.50 
88 	21884 	14962 	4.49 	43287 	10572 	5.43 	32328 	12093 	5.10 
89 	18610 	16497 	4.19 	38710 	12099 	5.01 	28419 	13573 	4.74 
90 	15540 	18113 	3.92 	34027 	13588 	4.64 	24561 	15053 	4.40 
91 	12725 	19797 	3.67 	29403 	15272 	4.29 	20864 	16685 	4.09 
92 	10206 	21657 	3.46 	24913 	17126 	3.97 	17383 	18488 	3.81 
93 	7996 	23392 	3.28 	20646 	19163 	3.68 	14169 	20385 	3.57 
94 	6125 	25377 	3.12 	16690 	20996 	3.44 	11281 	22214 	3.35 
95 	4571 	26969 	3.01 	13186 	23158 	3.22 	8775 	24174 	3.17 
96 	3338 	28526 	2.94 	10132 	24924 	3.04 	6654 	25849 	3.02 
97 	2386 	29636 	2.92 	7607 	26649 	2.89 	4934 	27389 	2.89 
98 	1679 	28738 	2.94 	5580 	28031 	2.75 	3582 	28200 	2.80 
99 	1196 	29786 	2.92 	4016 	29038 	2.63 	2572 	29216 	2.70 
100 	840 	28430 	2.94 	2850 	29969 	2.50 	1821 	29605 	2.60 
101 	601 	23822 	2.91 	1996 	30024 	2.36 	1282 	28535 	2.49 
102 	458 	27880 	2.67 	1396 	31587 	2.15 	916 	30638 	2.28 
103 	330 	35136 	2.51 	955 	35483 	1.91 	635 	35391 	2.07 
104 	214 	38080 	2.60 	616 	43271 	1.69 	410 	41884 	1.93
