1000;855;798;760;732;710;692;680;670;661
653;646;640;634;628;622;616;610;604;598
592;586;579;573;567;560;553;546;539;531
523;515;507;499;490;481;472;463;454;445
436;427;417;407;397;387;377;367;357;346
335;324;313;302;292;282;272;262;252;242
232;222;212;202;192;182;172;162;152;142
131;120;109; 98; 88; 78; 68; 58; 49; 41
34; 28; 23; 20
