0   ;  30  ; 30
19  ;  30  ; 30
20  ;  28  ; 30
24  ;  28  ; 30
25  ;  25  ; 30
29  ;  25  ; 30
30  ;  22  ; 30
34  ;  22  ; 26
35  ;  20  ; 25
39  ;  20  ; 21
50  ; 9  ; 10
54  ; 9  ; 6
55  ; 7  ; 5
59  ; 7  ; 1
60  ; 5  ; 0
100 ; 5  ; 0
